#Gen,#Eval,Communication Time,#con1,#con2,Num of feasible individuals
223,11150,-0.98000002,0.01147086,0.28299016,24
224,11200,-0.98000002,0.01147086,0.28299016,27
225,11250,-0.98000002,0.01147086,0.28299016,25
226,11300,-0.98000002,0.01147086,0.28299016,29
227,11350,-0.98000002,0.01147086,0.28299016,32
228,11400,-0.98000002,0.01147086,0.28299016,26
229,11450,-0.98000002,0.01147086,0.28299016,32
230,11500,-0.98000002,0.01147086,0.28299016,27
231,11550,-0.98000002,0.01147086,0.28299016,29
232,11600,-0.98000002,0.01147086,0.28299016,26
233,11650,-0.98000002,0.01147086,0.28299016,27
234,11700,-0.98000002,0.01147086,0.28299016,28
235,11750,-0.98000002,0.01147086,0.28299016,27
236,11800,-0.98000002,0.01147086,0.28299016,29
237,11850,-0.98000002,0.01147086,0.28299016,26
238,11900,-0.98000002,0.01147086,0.28299016,23
239,11950,-0.98000002,0.01147086,0.28299016,24
240,12000,-0.98000002,0.01147086,0.28299016,31
241,12050,-0.98000002,0.01147086,0.28299016,29
242,12100,-0.98000002,0.01147086,0.28299016,31
243,12150,-0.98000002,0.01147086,0.28299016,28
244,12200,-0.98000002,0.01147086,0.28299016,31
245,12250,-0.98000002,0.01147086,0.28299016,30
246,12300,-0.98000002,0.01147086,0.28299016,27
247,12350,-0.98000002,0.01147086,0.28299016,28
248,12400,-0.98000002,0.01147086,0.28299016,27
249,12450,-0.98000002,0.01147086,0.28299016,35
250,12500,-0.98000002,0.01147086,0.28299016,34
251,12550,-0.98000002,0.01147086,0.28299016,28
252,12600,-0.98000002,0.01147086,0.28299016,27
253,12650,-0.98000002,0.01147086,0.28299016,23
254,12700,-0.98000002,0.01147086,0.28299016,29
255,12750,-0.98000002,0.01147086,0.28299016,31
256,12800,-0.98000002,0.01147086,0.28299016,29
257,12850,-0.98000002,0.01147086,0.28299016,32
258,12900,-0.98000002,0.01147086,0.28299016,32
259,12950,-0.98000002,0.01147086,0.28299016,30
260,13000,-0.98000002,0.01147086,0.28299016,25
261,13050,-0.98000002,0.01147086,0.28299016,24
262,13100,-0.98000002,0.01147086,0.28299016,25
263,13150,-0.98000002,0.01147086,0.28299016,30
264,13200,-0.98000002,0.01147086,0.28299016,34
265,13250,-0.98000002,0.01147086,0.28299016,30
266,13300,-0.98000002,0.01147086,0.28299016,27
267,13350,-0.98000002,0.01147086,0.28299016,25
268,13400,-0.98000002,0.01147086,0.28299016,26
269,13450,-0.98000002,0.01147086,0.28299016,27
270,13500,-0.98000002,0.01147086,0.28299016,27
271,13550,-0.98000002,0.01147086,0.28299016,30
272,13600,-0.98000002,0.01147086,0.28299016,31
273,13650,-0.98000002,0.01147086,0.28299016,26
274,13700,-0.98000002,0.01147086,0.28299016,25
275,13750,-0.98000002,0.01147086,0.28299016,29
276,13800,-0.98000002,0.01147086,0.28299016,28
277,13850,-0.98000002,0.01147086,0.28299016,29
278,13900,-0.98000002,0.01147086,0.28299016,26
279,13950,-0.98000002,0.01147086,0.28299016,26
280,14000,-0.98000002,0.01147086,0.28299016,28
281,14050,-0.98000002,0.01147086,0.28299016,23
282,14100,-0.98000002,0.01147086,0.28299016,29
283,14150,-0.98000002,0.01147086,0.28299016,36
284,14200,-0.98000002,0.01147086,0.28299016,25
285,14250,-0.98000002,0.01147086,0.28299016,30
286,14300,-0.98000002,0.01147086,0.28299016,26
287,14350,-0.98000002,0.01147086,0.28299016,30
288,14400,-0.98000002,0.01147086,0.28299016,27
289,14450,-0.98000002,0.01147086,0.28299016,29
290,14500,-0.98000002,0.01147086,0.28299016,26
291,14550,-0.98000002,0.01147086,0.28299016,27
292,14600,-0.98000002,0.01147086,0.28299016,23
293,14650,-0.98000002,0.01147086,0.28299016,29
294,14700,-0.98000002,0.01147086,0.28299016,30
295,14750,-0.98000002,0.01147086,0.28299016,29
296,14800,-0.98000002,0.01147086,0.28299016,29
297,14850,-0.98000002,0.01147086,0.28299016,28
298,14900,-0.98000002,0.01147086,0.28299016,21
299,14950,-0.98000002,0.01147086,0.28299016,36
300,15000,-0.98000002,0.01147086,0.28299016,30
301,15050,-0.98000002,0.01147086,0.28299016,24
302,15100,-0.98000002,0.01147086,0.28299016,26
303,15150,-0.98000002,0.01147086,0.28299016,25
304,15200,-0.98000002,0.01147086,0.28299016,30
305,15250,-0.98000002,0.01147086,0.28299016,32
306,15300,-0.98000002,0.01147086,0.28299016,33
307,15350,-0.98000002,0.01147086,0.28299016,30
308,15400,-0.98000002,0.01147086,0.28299016,31
309,15450,-0.98000002,0.01147086,0.28299016,32
310,15500,-0.98000002,0.01147086,0.28299016,30
311,15550,-0.98000002,0.01147086,0.28299016,30
312,15600,-0.98000002,0.01147086,0.28299016,28
313,15650,-0.98000002,0.01147086,0.28299016,27
314,15700,-0.98000002,0.01147086,0.28299016,32
315,15750,-0.98000002,0.01147086,0.28299016,27
316,15800,-0.98000002,0.01147086,0.28299016,29
317,15850,-0.98000002,0.01147086,0.28299016,30
318,15900,-0.98000002,0.01147086,0.28299016,31
319,15950,-0.98000002,0.01147086,0.28299016,33
320,16000,-0.98000002,0.01147086,0.28299016,27
321,16050,-0.98000002,0.01147086,0.28299016,31
322,16100,-0.98000002,0.01147086,0.28299016,29
323,16150,-0.98000002,0.01147086,0.28299016,33
324,16200,-0.98000002,0.01147086,0.28299016,28
325,16250,-0.98000002,0.01147086,0.28299016,31
326,16300,-0.98000002,0.01147086,0.28299016,35
327,16350,-0.98000002,0.01147086,0.28299016,27
328,16400,-0.98000002,0.01147086,0.28299016,30
329,16450,-0.98000002,0.01147086,0.28299016,27
330,16500,-0.98000002,0.01147086,0.28299016,29
331,16550,-0.98000002,0.01147086,0.28299016,28
332,16600,-0.98000002,0.01147086,0.28299016,31
333,16650,-0.98000002,0.01147086,0.28299016,30
334,16700,-0.98000002,0.01147086,0.28299016,27
335,16750,-0.98000002,0.01147086,0.28299016,27
336,16800,-0.98000002,0.01147086,0.28299016,31
337,16850,-0.98000002,0.01147086,0.28299016,32
338,16900,-0.98000002,0.01147086,0.28299016,30
339,16950,-0.98000002,0.01147086,0.28299016,31
340,17000,-0.98000002,0.01147086,0.28299016,27
341,17050,-0.98000002,0.01147086,0.28299016,25
342,17100,-0.98000002,0.01147086,0.28299016,25
343,17150,-0.98000002,0.01147086,0.28299016,30
344,17200,-0.98000002,0.01147086,0.28299016,25
345,17250,-0.98000002,0.01147086,0.28299016,26
346,17300,-0.98000002,0.01147086,0.28299016,22
347,17350,-0.98000002,0.01147086,0.28299016,24
348,17400,-0.98000002,0.01147086,0.28299016,22
349,17450,-0.98000002,0.01147086,0.28299016,30
350,17500,-0.98000002,0.01147086,0.28299016,29
351,17550,-0.98000002,0.01147086,0.28299016,30
352,17600,-0.98000002,0.01147086,0.28299016,25
353,17650,-0.98000002,0.01147086,0.28299016,28
354,17700,-0.98000002,0.01147086,0.28299016,24
355,17750,-0.98000002,0.01147086,0.28299016,23
356,17800,-0.98000002,0.01147086,0.28299016,29
357,17850,-0.98000002,0.01147086,0.28299016,32
358,17900,-0.98000002,0.01147086,0.28299016,36
359,17950,-0.98000002,0.01147086,0.28299016,31
360,18000,-0.98000002,0.01147086,0.28299016,29
361,18050,-0.98000002,0.01147086,0.28299016,23
362,18100,-0.98000002,0.01147086,0.28299016,29
363,18150,-0.98000002,0.01147086,0.28299016,34
364,18200,-0.98000002,0.01147086,0.28299016,28
365,18250,-0.98000002,0.01147086,0.28299016,32
366,18300,-0.98000002,0.01147086,0.28299016,31
367,18350,-0.98000002,0.01147086,0.28299016,29
368,18400,-0.98000002,0.01147086,0.28299016,33
369,18450,-0.98000002,0.01147086,0.28299016,29
370,18500,-0.98000002,0.01147086,0.28299016,32
371,18550,-0.98000002,0.01147086,0.28299016,30
372,18600,-0.98000002,0.01147086,0.28299016,30
373,18650,-0.98000002,0.01147086,0.28299016,31
374,18700,-0.98000002,0.01147086,0.28299016,37
375,18750,-0.98000002,0.01147086,0.28299016,28
376,18800,-0.98000002,0.01147086,0.28299016,30
377,18850,-0.98000002,0.01147086,0.28299016,32
378,18900,-0.98000002,0.01147086,0.28299016,31
379,18950,-0.98000002,0.01147086,0.28299016,33
380,19000,-0.98000002,0.01147086,0.28299016,34
381,19050,-0.98000002,0.01147086,0.28299016,33
382,19100,-0.98000002,0.01147086,0.28299016,26
383,19150,-0.98000002,0.01147086,0.28299016,30
384,19200,-0.98000002,0.01147086,0.28299016,24
385,19250,-0.98000002,0.01147086,0.28299016,31
386,19300,-0.98000002,0.01147086,0.28299016,28
387,19350,-0.98000002,0.01147086,0.28299016,33
388,19400,-0.98000002,0.01147086,0.28299016,29
389,19450,-0.98000002,0.01147086,0.28299016,29
390,19500,-0.98000002,0.01147086,0.28299016,33
391,19550,-0.98000002,0.01147086,0.28299016,31
392,19600,-0.98000002,0.01147086,0.28299016,34
393,19650,-0.98000002,0.01147086,0.28299016,29
394,19700,-0.98000002,0.01147086,0.28299016,26
395,19750,-0.98000002,0.01147086,0.28299016,26
396,19800,-0.98000002,0.01147086,0.28299016,33
397,19850,-0.98000002,0.01147086,0.28299016,36
398,19900,-0.98000002,0.01147086,0.28299016,35
399,19950,-0.98000002,0.01147086,0.28299016,31
400,20000,-0.98000002,0.01147086,0.28299016,27
401,20050,-0.98000002,0.01147086,0.28299016,27
402,20100,-0.98000002,0.01147086,0.28299016,30
403,20150,-0.98000002,0.01147086,0.28299016,30
404,20200,-0.98000002,0.01147086,0.28299016,33
405,20250,-0.98000002,0.01147086,0.28299016,27
406,20300,-0.98000002,0.01147086,0.28299016,30
407,20350,-0.98000002,0.01147086,0.28299016,22
408,20400,-0.98000002,0.01147086,0.28299016,31
409,20450,-0.98000002,0.01147086,0.28299016,34
410,20500,-0.98000002,0.01147086,0.28299016,29
411,20550,-0.98000002,0.01147086,0.28299016,33
412,20600,-0.98000002,0.01147086,0.28299016,33
413,20650,-0.98000002,0.01147086,0.28299016,36
414,20700,-0.98000002,0.01147086,0.28299016,33
415,20750,-0.98000002,0.01147086,0.28299016,31
416,20800,-0.98000002,0.01147086,0.28299016,19
417,20850,-0.98000002,0.01147086,0.28299016,30
418,20900,-0.98000002,0.01147086,0.28299016,31
